iter	RMSE
0	0.9531623852
1	0.9132503645
2	0.8734021562
3	0.8395563761
4	0.8131378777
5	0.7862129412
6	0.7638505813
7	0.7397563977
8	0.7207395124
9	0.7076313491
10	0.6926574357
11	0.6763020506
12	0.6649179461
13	0.6526370826
14	0.6447012385
15	0.6378887427
16	0.6280699
17	0.6196072653
18	0.6126473319
19	0.6073305526
20	0.5994640549
21	0.5941056121
22	0.5880023973
23	0.5825165149
24	0.5776531077
25	0.5752301148
26	0.5704381074
27	0.5676652706
28	0.5650305556
29	0.561577957
30	0.5577636722
31	0.5555306429
32	0.5531036991
33	0.5497132332
34	0.5462486162
35	0.5447071751
36	0.5429398673
37	0.5409624089
38	0.5386785455
39	0.5375665443
40	0.5366127839
41	0.5346944477
42	0.5327408739
43	0.5310746961
44	0.5292528263
45	0.5274844093
46	0.5256113127
47	0.5246419521
48	0.522698675
49	0.5213644315
50	0.5201303785
51	0.5190468604
52	0.5174131782
53	0.5165545664
54	0.5151541319
55	0.5137606457
56	0.5129812469
57	0.5117659818
58	0.5108276909
59	0.509468619
60	0.5085550319
61	0.5071636095
62	0.5063862317
63	0.5054663619
64	0.5045460302
65	0.5033914525
66	0.5030501381
67	0.5015130401
68	0.5007287555
69	0.4999383063
70	0.498716834
71	0.497279319
72	0.4963925919
73	0.4949764833
74	0.4941808988
75	0.4926794338
76	0.491988965
77	0.4908939556
78	0.4891435386
79	0.4875899533
80	0.4864452221
81	0.4858110023
82	0.4847564787
83	0.4837012093
84	0.4824411122
85	0.4815843955
86	0.4808227042
87	0.479691288
88	0.4787166416
89	0.4780034265
90	0.47764354
91	0.4772384965
92	0.4764660891
93	0.4758719648
94	0.4752699602
95	0.4744085773
96	0.4727123087
97	0.4720251968
98	0.4713608114
99	0.4705392371
100	0.4689017807
101	0.4685046704
102	0.4680855518
103	0.4677025577
104	0.4661615735
105	0.4651867698
106	0.4645388136
107	0.4629728564
108	0.4623604623
109	0.4621626057
110	0.4617013216
111	0.4603808789
112	0.4596254458
113	0.4590333222
114	0.4585035925
115	0.4573557691
116	0.4557749863
117	0.4548514272
118	0.4543401827
119	0.4540502724
120	0.4537243946
121	0.4523532617
122	0.4511162457
123	0.4509828634
124	0.4504307277
125	0.4494557306
126	0.4493287987
127	0.4485736205
128	0.4483803166
129	0.4474342109
130	0.4465941589
131	0.4459873809
132	0.4450015047
133	0.443617457
134	0.442792076
135	0.4410988958
136	0.4402262832
137	0.439294432
138	0.4386922864
139	0.4380455752
140	0.4375386204
141	0.4369623025
142	0.4358859701
143	0.4351120804
144	0.4340053094
145	0.4333633518
146	0.4318256443
147	0.4310439571
148	0.4306300492
149	0.4298544554
150	0.4290070051
151	0.4284293921
152	0.4273541999
153	0.4265341157
154	0.4254980342
155	0.4243991359
156	0.4236461558
157	0.4232609404
158	0.4227030845
159	0.4216443208
160	0.421059981
161	0.4203056453
162	0.4196090977
163	0.4191982894
164	0.4185072916
165	0.4174788362
166	0.4171682852
167	0.416581424
168	0.4158352484
169	0.4153082108
170	0.4141771097
171	0.4139358715
172	0.413518019
173	0.4132286423
174	0.4124589266
175	0.4120769375
176	0.4114721585
177	0.4106530631
178	0.4100188317
179	0.4093673898
180	0.4088316459
181	0.4081924991
182	0.4072718896
183	0.4066831002
184	0.4057677663
185	0.4053454969
186	0.4047246365
187	0.4040939168
188	0.4037077701
189	0.4034215021
190	0.4029671695
191	0.4017959866
192	0.4016135455
193	0.4010283804
194	0.4002868342
195	0.399795999
196	0.3991285531
197	0.3983007349
198	0.3976700614
199	0.397205114
200	0.3970226303
201	0.3962239903
202	0.3960939278
203	0.3955652029
204	0.3950633178
205	0.3943899123
206	0.3942267435
207	0.3936127107
208	0.3932519881
209	0.3930471924
210	0.3925310581
211	0.392219193
212	0.3915498166
213	0.3909683539
214	0.3903332439
215	0.3898940423
216	0.3894641998
217	0.3889910249
218	0.3883424748
219	0.3880699994
220	0.3876348727
221	0.3867206584
222	0.3863595762
223	0.3856719581
224	0.3852309894
225	0.3847562847
226	0.3843335562
227	0.3841080354
228	0.3839785409
229	0.3838082846
230	0.3832424617
231	0.3825747179
232	0.3823003701
233	0.3816119181
234	0.3810456255
235	0.3809360732
236	0.3798995755
237	0.3797241986
238	0.3792407137
239	0.3784889323
240	0.3783586742
241	0.3780429204
242	0.3775339038
243	0.3771796472
244	0.3763595476
245	0.3758132214
246	0.3754143174
247	0.3748815369
248	0.3745124674
249	0.3738824285
250	0.3737859759
251	0.3735318171
252	0.3731266279
253	0.3727065817
254	0.3717373073
255	0.371210895
256	0.370562876
257	0.3702272382
258	0.3698872257
259	0.3694754377
260	0.3690816569
261	0.3687155116
262	0.3684061103
263	0.3682286548
264	0.3672149322
265	0.3669103393
266	0.3664972458
267	0.3659359368
268	0.3650994523
269	0.3648207284
270	0.3642211761
271	0.3637165329
272	0.3631498409
273	0.3628128495
274	0.3624653611
275	0.362084199
276	0.3615564508
277	0.3608304693
278	0.3605557862
279	0.3598235454
280	0.3594617632
281	0.3588283923
282	0.3583664046
283	0.3579050563
284	0.3573727324
285	0.3569654199
286	0.3564224065
287	0.3562255877
288	0.3554577193
289	0.3549532673
290	0.3542629251
291	0.3536551309
292	0.3530762839
293	0.3523303849
294	0.3512928643
295	0.3504285076
296	0.3498527512
297	0.3493153068
298	0.3487683476
299	0.3478671062
300	0.3469275331
301	0.3461927265
302	0.3454771612
303	0.3453501046
304	0.3448182967
305	0.3442178141
306	0.3437127002
307	0.3433112571
308	0.3429776617
309	0.3425052852
310	0.342055891
311	0.3413621738
312	0.3409982885
313	0.3402536219
314	0.339780416
315	0.339286853
316	0.3390553254
317	0.3387502564
318	0.3384104998
319	0.3380882874
320	0.3377822145
321	0.3374089507
322	0.3372010484
323	0.3370923247
324	0.3365916545
325	0.3364604854
326	0.3360852485
327	0.3359968911
328	0.3356293291
329	0.3351546866
330	0.3347041455
331	0.3341436016
332	0.3336940508
333	0.3330852928
334	0.3326371221
335	0.3323919718
336	0.33203874
337	0.3316638353
338	0.3312666434
339	0.3311412679
340	0.3307795675
341	0.3305884688
342	0.3303964677
343	0.329989773
344	0.3294576264
345	0.3292023054
346	0.3286359018
347	0.3279037115
348	0.3276638219
349	0.3273707594
350	0.3270728734
351	0.3267477943
352	0.3265232874
353	0.3258405877
354	0.3252997824
355	0.324853582
356	0.3246360613
357	0.3241756092
358	0.3237803365
359	0.3234256232
360	0.3233490947
361	0.3229908129
362	0.3223748526
363	0.3217371033
364	0.321362294
365	0.3209061742
366	0.3204974602
367	0.3202257287
368	0.3198129849
369	0.3192919031
370	0.3190807708
371	0.3188068707
372	0.3184295005
373	0.3177073045
374	0.3172097805
375	0.3165593288
376	0.3162292831
377	0.3157558741
378	0.315092783
379	0.3148441957
380	0.3144799869
381	0.3138548009
382	0.3134288137
383	0.3130485771
384	0.3129583925
385	0.3125312905
386	0.3123381818
387	0.3118802474
388	0.3115492595
389	0.3111528478
390	0.3107384421
391	0.3105087918
392	0.3100856336
393	0.309791641
394	0.3094256841
395	0.3088686226
396	0.3086179206
397	0.3080509075
398	0.3078446216
399	0.3074201145
400	0.3070367535
401	0.3063449363
402	0.3060441904
403	0.3055148946
404	0.3050251207
405	0.3045692603
406	0.3042467416
407	0.303897168
408	0.3036020571
409	0.3029647624
410	0.3027313554
411	0.3024730891
412	0.3019789866
413	0.3016779901
414	0.3011430587
415	0.3008670123
416	0.3004272196
417	0.3002224707
418	0.2996456978
419	0.2993185877
420	0.2992453189
421	0.2990392574
422	0.2986804388
423	0.2984468575
424	0.298035563
425	0.2976939315
426	0.2972913089
427	0.2969780751
428	0.296549396
429	0.2961119307
430	0.2957903002
431	0.2952921388
432	0.2950156236
433	0.2946184405
434	0.2942300023
435	0.2938053204
436	0.2934451993
437	0.2930126328
438	0.2924010589
439	0.2922394897
440	0.2917771702
441	0.2913668146
442	0.2911032122
443	0.2907316017
444	0.2903010216
445	0.2901252151
446	0.2896922486
447	0.289327538
448	0.2889208608
449	0.2885064374
450	0.2881668449
451	0.287782887
452	0.2872476254
453	0.2869640523
454	0.2865744418
455	0.2864195754
456	0.2860788553
457	0.285940942
458	0.2858547428
459	0.2855483284
460	0.2851778485
461	0.2848270406
462	0.2843529105
463	0.2841086034
464	0.284030563
465	0.283705937
466	0.2836051474
467	0.2834107262
468	0.2831839394
469	0.2829727855
470	0.2827432784
471	0.2825639036
472	0.2821419581
473	0.2818009871
474	0.2815237148
475	0.2810904691
476	0.2807430325
477	0.280398157
478	0.279895894
479	0.2793029672
480	0.2790535626
481	0.2787966496
482	0.2782456741
483	0.2779827108
484	0.2775064723
485	0.2771190977
486	0.2770131831
